time,coherence,firing_rate
280,3.2,46.7680543787
280,6.4,47.6079465912
280,12.8,49.4179484906
280,25.6,53.4063507726
280,51.2,56.5709270698
300,0.0,44.5806310958
300,3.2,47.7403311288
300,6.4,47.9453145595
300,12.8,50.884901111
300,25.6,53.9921770122
320,0.0,42.1883499648
320,3.2,46.1091773662
320,6.4,46.9297722083
320,12.8,50.5475711692
320,25.6,54.2706099715
340,0.0,41.7881832087
340,3.2,45.6333595786
340,6.4,47.6741978356
340,12.8,49.8453330566
340,25.6,55.4833048133
360,0.0,43.8889398626
360,3.2,47.8811790178
360,6.4,50.4307958419
360,12.8,50.5637453923
360,25.6,57.6132002761
380,0.0,46.7939865745
380,3.2,46.0362955566
380,6.4,50.2350060629
380,12.8,51.839563305
380,25.6,57.9308464384
400,0.0,45.4823942827
400,3.2,45.3563633893
400,6.4,48.816525836
400,12.8,52.3134685064
400,25.6,58.2719153733
420,0.0,45.2294029647
420,3.2,47.370806321
420,6.4,51.0426760675
420,12.8,54.3442280151
420,25.6,58.7792250482
440,0.0,47.5705138296
440,3.2,47.8962913334
440,6.4,52.8451380575
440,12.8,56.5905120229
460,0.0,47.9965125796
460,3.2,49.7589895528
460,6.4,54.6071568221
460,12.8,57.6417931949
480,0.0,47.4221784572
480,3.2,50.2088029789
480,6.4,56.3631120383
480,12.8,57.336239303
500,0.0,48.4253715445
500,3.2,49.8924509929
500,6.4,56.3159583107
500,12.8,57.8834341936
520,0.0,49.8483600507
520,3.2,49.395357585
520,6.4,55.6257450533
520,12.8,56.7031475447
540,0.0,51.4958439254
540,3.2,48.066627973
540,6.4,52.6625406001
540,12.8,56.5965566665
560,0.0,53.8839724539
560,3.2,48.6514774419
560,6.4,51.2677935943
560,12.8,57.4458518599
580,0.0,53.0430826028
580,3.2,50.928916973
580,6.4,55.3879064133
600,0.0,52.1063146794
600,3.2,50.4609948656
600,6.4,58.3763412771
620,0.0,51.9722589882
620,3.2,49.6072463942
620,6.4,58.4313296726
640,0.0,51.4946850007
640,3.2,53.7183234006
660,0.0,51.3666266822
660,3.2,56.9613202683
680,0.0,52.6740476122
680,3.2,57.0799478842
700,0.0,52.6806817764
720,0.0,51.299586053
-80,0.0,34.9701072622
-80,3.2,36.7858148044
-80,6.4,34.4785059901
-80,12.8,34.9914236707
-80,25.6,32.2415329768
-80,51.2,32.6330162086
-60,0.0,33.8491295938
-60,3.2,35.6811145511
-60,6.4,35.5943152455
-60,12.8,33.2285115304
-60,25.6,34.0196078431
-60,51.2,33.8662790698
-40,0.0,35.2030947776
-40,3.2,35.5263157895
-40,6.4,35.0129198966
-40,12.8,34.9056603774
-40,25.6,34.7058823529
-40,51.2,33.0910852713
-20,0.0,35.1063829787
-20,3.2,34.9845201238
-20,6.4,36.3695090439
-20,12.8,36.320754717
-20,25.6,34.8529411765
-20,51.2,35.3197674419
0,0.0,34.1392649903
0,3.2,36.1455108359
0,6.4,37.8552971576
0,12.8,36.0062893082
0,25.6,34.4117647059
0,51.2,35.6104651163
20,0.0,35.9767891683
20,3.2,38.3900928793
20,6.4,36.9509043928
20,12.8,36.8972746331
20,25.6,34.362745098
20,51.2,33.8178294574
40,0.0,36.3636363636
40,3.2,40.4024767802
40,6.4,35.9819121447
40,12.8,37.8406708595
40,25.6,35.9803921569
40,51.2,36.1918604651
60,0.0,34.7195357834
60,3.2,37.4613003096
60,6.4,35.4005167959
60,12.8,37.0545073375
60,25.6,35.8823529412
60,51.2,37.8391472868
80,0.0,35.3965183752
80,3.2,34.0557275542
80,6.4,33.5917312661
80,12.8,36.0062893082
80,25.6,35.3431372549
80,51.2,35.6589147287
100,0.0,31.8665377176
100,3.2,33.2817337461
100,6.4,31.3953488372
100,12.8,33.3333333333
100,25.6,33.6764705882
100,51.2,32.6550387597
120,0.0,29.6905222437
120,3.2,32.1207430341
120,6.4,30.9492892804
120,12.8,30.5063756889
120,25.6,31.2745098039
120,51.2,30.6686046512
140,0.0,31.5280464217
140,3.2,30.572755418
140,6.4,32.4888754083
140,12.8,30.6956495116
140,25.6,31.3725490196
140,51.2,31.4084685455
160,0.0,33.4622823985
160,3.2,31.9399161621
160,6.4,34.1883327301
160,12.8,33.4109778842
160,25.6,33.0303469437
160,51.2,33.4367357364
180,0.0,38.2070547501
180,3.2,37.8712163752
180,6.4,38.5042012826
180,12.8,38.4719004777
180,25.6,37.0775301438
180,51.2,38.2633844689
200,0.0,42.7578085722
200,3.2,42.2897196262
200,6.4,42.9949986829
200,12.8,41.5088392695
200,25.6,41.8176444453
200,51.2,43.1074684774
220,0.0,44.5909389003
220,3.2,45.3417177461
220,6.4,45.4000593486
220,12.8,41.8565530425
220,25.6,42.4234549444
220,51.2,40.6228763776
240,0.0,43.3291259446
240,3.2,45.5698126733
240,6.4,46.0860105176
240,12.8,41.9135577374
240,25.6,39.0738361103
240,51.2,37.4852335411
260,0.0,43.3132225106
260,3.2,43.3325723491
260,6.4,43.3791616022
260,12.8,41.9109630979
260,25.6,37.912397605
260,51.2,36.7127196352
280,0.0,44.0351005894
280,3.2,40.7781018409
280,6.4,42.3074505091
280,12.8,38.8754812498
280,25.6,38.1344925275
280,51.2,35.9808003647
300,0.0,42.9985009362
300,3.2,40.6293355403
300,6.4,42.5742920171
300,12.8,37.7958539325
300,25.6,36.2919354435
300,51.2,34.1760123767
320,0.0,39.8459992058
320,3.2,38.6301686727
320,6.4,41.2207626677
320,12.8,35.5155038833
320,25.6,33.6229546792
320,51.2,33.7686320342
340,0.0,38.294630264
340,3.2,39.2359539907
340,6.4,41.5255817987
340,12.8,34.3093086994
340,25.6,31.1869789361
360,0.0,38.7832089442
360,3.2,40.5201660452
360,6.4,40.2438173059
360,12.8,37.3473010589
360,25.6,30.9096204221
380,0.0,37.7037571598
380,3.2,37.8557504873
380,6.4,38.1466711944
380,12.8,36.4564971115
380,25.6,30.4264563351
400,0.0,39.742881112
400,3.2,37.7696727599
400,6.4,37.282919343
400,12.8,36.5347678542
400,25.6,27.8518122463
420,0.0,41.3684007973
420,3.2,38.8926908711
420,6.4,36.7202937136
420,12.8,35.1082370207
420,25.6,27.861418733
440,0.0,40.6496445189
440,3.2,39.9098650911
440,6.4,38.0156523023
440,12.8,35.2694954062
440,25.6,29.81667219
460,0.0,42.7507271759
460,3.2,39.6852155867
460,6.4,38.520175851
460,12.8,36.5036817188
480,0.0,41.6795939186
480,3.2,38.2746541855
480,6.4,38.0980698037
480,12.8,34.0660031252
500,0.0,38.0762367984
500,3.2,38.7038940633
500,6.4,39.399412391
500,12.8,36.6778056607
520,0.0,40.3020387251
520,3.2,38.768191293
520,6.4,37.1402778543
520,12.8,36.8786473739
540,0.0,41.3666539656
540,3.2,37.1782371295
540,6.4,35.8263885332
540,12.8,33.7657325009
560,0.0,42.1411371631
560,3.2,39.4878074198
560,6.4,36.8214417656
560,12.8,33.73267699
580,0.0,40.6285403536
580,3.2,41.2384548086
580,6.4,36.1422793814
600,0.0,38.626129285
600,3.2,38.9859711621
600,6.4,36.4593012697
620,0.0,41.6313731495
620,3.2,40.9941162703
620,6.4,35.3408471901
640,0.0,41.3093764734
640,3.2,42.9420765936
640,6.4,37.8523264371
660,0.0,40.65999957
660,3.2,39.3419135381
680,0.0,42.454915858
680,3.2,37.8062672369
700,0.0,43.4649588514
700,3.2,38.994559118
720,0.0,41.9871213179
720,3.2,41.7160565573
-600,0.0,45.2325120377
-580,0.0,45.4264028997
-560,0.0,43.0716466126
-560,3.2,44.6334707376
-540,0.0,45.4794313401
-540,3.2,44.2150705016
-520,0.0,45.506553529
-520,3.2,45.6483325386
-500,0.0,45.4151502861
-500,3.2,45.9241043648
-500,6.4,50.0619965618
-480,0.0,48.160760903
-480,3.2,45.7282215546
-480,6.4,49.6277218935
-460,0.0,46.3937943881
-460,3.2,47.06353638
-460,6.4,51.0213340154
-440,0.0,43.5141711801
-440,3.2,47.6131067824
-440,6.4,48.7946689049
-440,12.8,49.603478703
-420,0.0,45.6403332059
-420,3.2,48.9830083705
-420,6.4,51.0323809137
-420,12.8,51.9676391845
-400,0.0,48.8318863322
-400,3.2,47.171291067
-400,6.4,52.5509987955
-400,12.8,51.7947628697
-380,0.0,50.8980590583
-380,3.2,48.9092059523
-380,6.4,48.8474113348
-380,12.8,52.0292508296
-360,0.0,51.2067586014
-360,3.2,50.2840383861
-360,6.4,50.145345275
-360,12.8,53.2630051358
-340,0.0,50.2800233932
-340,3.2,50.0120454694
-340,6.4,52.2716382085
-340,12.8,53.0778335811
-320,0.0,49.4086709956
-320,3.2,51.7156662265
-320,6.4,53.0425605954
-320,12.8,53.4673586898
-300,0.0,49.1203942708
-300,3.2,49.418248136
-300,6.4,54.0102823529
-300,12.8,54.6096601316
-300,25.6,54.1875464625
-280,0.0,51.6971579109
-280,3.2,51.0207341541
-280,6.4,55.7411082083
-280,12.8,53.2776573023
-280,25.6,54.5064306881
-260,0.0,52.6379444601
-260,3.2,52.6249011151
-260,6.4,56.567696028
-260,12.8,53.945858687
-260,25.6,55.0692362824
-240,0.0,51.2549672581
-240,3.2,52.5865121943
-240,6.4,53.8916036035
-240,12.8,55.8665513894
-240,25.6,54.0660056789
-220,0.0,50.5983703221
-220,3.2,51.4625155232
-220,6.4,54.3207205125
-220,12.8,55.9107111914
-220,25.6,53.4235227174
-200,0.0,54.0969887257
-200,3.2,52.8902388815
-200,6.4,57.2658855352
-200,12.8,55.8513473336
-200,25.6,54.30218802
-180,0.0,56.0836482647
-180,3.2,54.6633426001
-180,6.4,56.5684880076
-180,12.8,57.0138948985
-180,25.6,56.7413467363
-160,0.0,55.3505702695
-160,3.2,53.8272331128
-160,6.4,56.7240292283
-160,12.8,58.1193158789
-160,25.6,58.6021829868
-160,51.2,54.8967997613
-140,0.0,57.1593256173
-140,3.2,56.5769900664
-140,6.4,56.7545502426
-140,12.8,59.1831621625
-140,25.6,58.7923267235
-140,51.2,57.8214569751
-120,0.0,58.53308329
-120,3.2,59.1191539695
-120,6.4,58.9815430655
-120,12.8,61.3557810869
-120,25.6,59.4419114489
-120,51.2,59.6895693369
-100,0.0,59.4948613645
-100,3.2,62.7954637729
-100,6.4,62.4863240028
-100,12.8,62.6925464066
-100,25.6,59.4754759182
-100,51.2,59.1229508662
-80,0.0,62.1398334413
-80,3.2,63.6967779056
-80,6.4,63.6803949111
-80,12.8,63.7975062565
-80,25.6,60.746123495
-80,51.2,61.6545577621
-60,0.0,63.9918381337
-60,3.2,64.0885489132
-60,6.4,65.9275648059
-60,12.8,64.4531213517
-60,25.6,65.0785915901
-60,51.2,62.7558667307
-40,0.0,65.9860557769
-40,3.2,66.4632254083
-40,6.4,67.7872860636
-40,12.8,67.6494487948
-40,25.6,67.4806695911
-40,51.2,66.6127927521
-20,0.0,68.3764940239
-20,3.2,66.8195604614
-20,6.4,68.2762836186
-20,12.8,69.8335976272
-20,25.6,69.2759295499
-20,51.2,69.2525512899
0,0.0,67.6792828685
0,3.2,66.443452381
0,6.4,70.0488997555
0,12.8,68.1668870183
0,25.6,69.5694716243
0,51.2,67.87109375
20,0.0,63.8446215139
20,3.2,65.0297619048
20,6.4,66.9926650367
20,12.8,62.6236601367
20,25.6,66.2426614481
20,51.2,66.455078125
40,0.0,60.3585657371
40,3.2,60.193452381
40,6.4,58.5574572127
40,12.8,59.0020576132
40,25.6,62.084148728
40,51.2,62.939453125
60,0.0,53.2370517928
60,3.2,51.2648809524
60,6.4,51.95599022
60,12.8,52.3148148148
60,25.6,52.8375733855
60,51.2,53.61328125
80,0.0,44.3725099602
80,3.2,43.75
80,6.4,45.2322738386
80,12.8,42.0781893004
80,25.6,44.373776908
80,51.2,44.677734375
100,0.0,37.5996015936
100,3.2,38.244047619
100,6.4,37.1638141809
100,12.8,36.1111111111
100,25.6,37.915851272
100,51.2,37.744140625
120,0.0,30.8266932271
120,3.2,29.9851190476
120,6.4,30.8679706601
120,12.8,29.6296296296
120,25.6,29.6966731898
120,51.2,31.494140625
140,0.0,25.8964143426
140,3.2,23.2142857143
140,6.4,24.3887530562
140,12.8,24.6399176955
140,25.6,23.5812133072
140,51.2,25.87890625
160,0.0,20.3685258964
160,3.2,20.3125
160,6.4,19.3765281174
160,12.8,19.5473251029
160,25.6,18.6888454012
160,51.2,21.044921875
180,0.0,14.4422310757
180,3.2,16.0714285714
180,6.4,16.564792176
180,12.8,14.866255144
180,25.6,14.481409002
180,51.2,16.89453125
200,0.0,10.4581673307
200,3.2,12.7838338423
200,6.4,13.141809291
200,12.8,12.4485596708
200,25.6,11.1056751468
200,51.2,13.330078125
220,0.0,8.71513944223
220,3.2,10.6859286565
220,6.4,9.35207823961
220,12.8,10.0823045267
220,25.6,10.3718199609
220,51.2,11.474609375
240,0.0,8.86454183267
240,3.2,8.30860534125
240,6.4,7.45721271394
240,12.8,8.48765432099
240,25.6,9.93150684932
240,51.2,9.47265625
260,0.0,7.76892430279
260,3.2,6.89910979228
260,6.4,7.39608801956
260,12.8,7.61316872428
260,25.6,8.12133072407
260,51.2,8.251953125
280,0.0,6.47410358566
280,3.2,7.34421364985
280,6.4,7.21271393643
280,12.8,6.27572016461
280,25.6,7.48532289628
280,51.2,8.056640625
300,0.0,6.57370517928
300,3.2,6.6765578635
300,6.4,7.0293398533
300,12.8,6.37860082305
300,25.6,6.60469667319
300,51.2,7.666015625
-600,0.0,44.2103307115
-600,3.2,43.0738351627
-580,0.0,42.0951655159
-580,3.2,43.0756767503
-560,0.0,42.1253513485
-560,3.2,45.285452736
-540,0.0,44.1789711798
-540,3.2,44.4708434932
-520,0.0,43.3521961356
-520,3.2,41.5618016122
-520,6.4,44.2199954188
-500,0.0,43.1815199497
-500,3.2,42.8556154206
-500,6.4,42.4625739991
-480,0.0,40.9459448349
-480,3.2,41.8233212614
-480,6.4,45.1344918679
-460,0.0,40.0093039819
-460,3.2,40.537176289
-460,6.4,42.6259401288
-440,0.0,43.0018202785
-440,3.2,39.4091538793
-440,6.4,40.2619258987
-440,12.8,41.1419903616
-420,0.0,42.3766444199
-420,3.2,39.5781225037
-420,6.4,41.5610024235
-420,12.8,40.409673204
-400,0.0,40.6714853979
-400,3.2,41.2375491667
-400,6.4,40.9429357455
-400,12.8,38.5119562086
-380,0.0,43.2876446613
-380,3.2,42.085900587
-380,6.4,39.9689553885
-380,12.8,39.7333761332
-360,0.0,43.3612315989
-360,3.2,42.4194708691
-360,6.4,41.5804848172
-360,12.8,40.044420197
-340,0.0,39.8762267679
-340,3.2,42.0788697858
-340,6.4,41.9028758554
-340,12.8,38.3120025573
-320,0.0,40.4448454043
-320,3.2,40.1513880957
-320,6.4,40.4341352507
-320,12.8,37.7310662817
-320,25.6,37.0585131882
-300,0.0,40.887184232
-300,3.2,38.9407023685
-300,6.4,41.2580403278
-300,12.8,38.124344213
-300,25.6,36.0738072395
-280,0.0,41.1947056441
-280,3.2,39.5680329223
-280,6.4,38.3602705272
-280,12.8,37.3681995607
-280,25.6,33.8812336651
-260,0.0,41.0136327071
-260,3.2,38.3195658023
-260,6.4,36.4397887275
-260,12.8,36.2032193868
-260,25.6,31.805921065
-240,0.0,41.8416740624
-240,3.2,36.0275741717
-240,6.4,37.6898636484
-240,12.8,36.5745098348
-240,25.6,31.6444372473
-220,0.0,44.2495790872
-220,3.2,37.0695086704
-220,6.4,37.956359877
-220,12.8,37.3919401512
-220,25.6,31.3636734123
-200,0.0,42.1919635126
-200,3.2,38.0726715912
-200,6.4,37.0371458417
-200,12.8,36.5375027453
-200,25.6,31.830531567
-200,51.2,34.278488404
-180,0.0,39.9167537004
-180,3.2,37.9308811524
-180,6.4,36.3390296669
-180,12.8,35.0061872356
-180,25.6,32.4350363538
-180,51.2,34.4335537627
-160,0.0,40.8200657039
-160,3.2,38.2566962825
-160,6.4,36.7686859329
-160,12.8,33.0507600504
-160,25.6,32.3455813934
-160,51.2,33.426397216
-140,0.0,41.6360762294
-140,3.2,36.5123153677
-140,6.4,37.072901881
-140,12.8,32.8615628189
-140,25.6,29.9254467262
-140,51.2,32.6695852309
-120,0.0,39.9027077915
-120,3.2,35.8890690743
-120,6.4,38.9400053932
-120,12.8,33.160408053
-120,25.6,28.7117587722
-120,51.2,32.3783626069
-100,0.0,39.8545786265
-100,3.2,37.6253424388
-100,6.4,37.2592360274
-100,12.8,31.7857081144
-100,25.6,28.5092773179
-100,51.2,30.3214636813
-80,0.0,39.0686538561
-80,3.2,38.3177570093
-80,6.4,37.1092892429
-80,12.8,31.6706619895
-80,25.6,27.1673864252
-80,51.2,27.5442304251
-60,0.0,37.8178588842
-60,3.2,36.0756294232
-60,6.4,38.4960754833
-60,12.8,31.2421028491
-60,25.6,27.0994763722
-60,51.2,27.8371555374
-40,0.0,37.8626692456
-40,3.2,35.2618508867
-40,6.4,35.2250005049
-40,12.8,29.1523049649
-40,25.6,28.0553221978
-40,51.2,27.4957625592
-20,0.0,35.8800773694
-20,3.2,34.9845201238
-20,6.4,34.2941079289
-20,12.8,28.8572631065
-20,25.6,27.6470588235
-20,51.2,26.7883724699
0,0.0,34.912959381
0,3.2,32.5851393189
0,6.4,32.8856784499
0,12.8,27.726905303
0,25.6,25.3431372549
0,51.2,25.5329457364
20,0.0,32.9787234043
20,3.2,31.73374613
20,6.4,30.7493540052
20,12.8,25.9958071279
20,25.6,25.0490196078
20,51.2,23.8856589147
40,0.0,32.833655706
40,3.2,34.6749226006
40,6.4,31.65374677
40,12.8,28.7211740042
40,25.6,28.3333333333
40,51.2,28.003875969
60,0.0,30.9477756286
60,3.2,34.520123839
60,6.4,30.9431524548
60,12.8,30.9224318658
60,25.6,29.1666666667
60,51.2,29.8449612403
80,0.0,24.7098646035
80,3.2,27.0897832817
80,6.4,27.7777777778
80,12.8,27.6729559748
80,25.6,26.2254901961
80,51.2,27.4709302326
100,0.0,25.8704061896
100,3.2,26.7027863777
100,6.4,27.1963824289
100,12.8,27.463312369
100,25.6,28.1862745098
100,51.2,29.1666666667
120,0.0,28.3849129594
120,3.2,30.959752322
120,6.4,28.2945736434
120,12.8,29.4549266247
120,25.6,31.9117647059
120,51.2,32.2189922481
140,0.0,27.3694390716
140,3.2,29.6439628483
140,6.4,29.0697674419
140,12.8,30.2410901468
140,25.6,30.2450980392
140,51.2,32.4612403101
160,0.0,27.9013539652
160,3.2,30.2631578947
160,6.4,30.6201550388
160,12.8,30.1362683438
160,25.6,29.8039215686
160,51.2,33.1395348837
180,0.0,29.9323017408
180,3.2,32.6625386997
180,6.4,29.6511627907
180,12.8,28.9832285115
180,25.6,30.4411764706
180,51.2,32.9457364341
200,0.0,29.7388781431
200,3.2,29.7213622291
200,6.4,29.0051679587
200,12.8,28.4067085954
200,25.6,29.9509803922
200,51.2,31.2984496124
220,0.0,27.5628626692
220,3.2,29.6439628483
220,6.4,29.0697674419
220,12.8,27.1488469602
220,25.6,27.5490196078
220,51.2,30.1356589147
240,0.0,28.6750483559
240,3.2,29.5665634675
240,6.4,29.8449612403
240,12.8,26.9916142558
240,25.6,27.8921568627
240,51.2,30.2810077519
260,0.0,28.8201160542
260,3.2,26.8575851393
260,6.4,29.9095607235
260,12.8,28.1446540881
260,25.6,28.5784313725
260,51.2,31.1046511628
280,0.0,28.6750483559
280,3.2,30.4953560372
280,6.4,27.5839793282
280,12.8,28.5115303983
280,25.6,26.4705882353
280,51.2,30.8139534884
300,0.0,28.3849129594
300,3.2,33.2817337461
300,6.4,27.5839793282
300,12.8,28.5115303983
300,25.6,27.0098039216
300,51.2,30.9593023256
